reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.01,1308.8832408199742
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.025,2012.0586316864274
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.05,2616.828260518436
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.1,3314.088910762766
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.15,3784.5273612302535
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.2,4158.416928459447
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.25,4479.180885383765
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.3,4767.2368323286555
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.35,5034.163596090874
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.4,5287.450992076081
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.45,5532.509478962921
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.5,5773.682656124227
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.55,6014.855833285534
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.6,6259.914320172373
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.65,6513.2017161575795
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.7,6780.128479919798
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.75,7068.184426864689
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.8,7388.948383789007
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.85,7762.8379510182
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.9,8233.276401485688
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.95,8930.537051730016
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.975,9535.306680562026
2026-03-14,wk inc flu hosp,1,US,2026-03-21,quantile,0.99,10238.48207142848
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.01,0
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.025,0
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.05,0
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.1,0
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.15,464.7580528101398
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.2,1265.729752937817
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.25,1952.8921517748468
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.3,2569.985223577257
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.35,3141.8139198541558
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.4,3684.423433370803
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.45,4209.404417266902
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.5,4726.0620260032
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.55,5242.719634739499
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.6,5767.7006186355975
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.65,6310.3101321522445
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.7,6882.138828429143
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.75,7499.2319002315535
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.8,8186.394299068585
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.85,8987.36599919626
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.9,9995.171293868714
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.95,11488.890555941565
2026-03-14,wk inc flu hosp,2,US,2026-03-28,quantile,0.975,12784.469251493188
