reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.01,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.025,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.05,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.1,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.15,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.2,0
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.25,37.22417571757296
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.3,321.7392942325092
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.35,585.3849527654527
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.4,835.558900748056
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.45,1077.6050906607377
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.5,1315.813729678353
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.55,1554.0223686959685
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.6,1796.06855860865
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.65,2046.2425065912532
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.7,2309.888165124197
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.75,2594.403283639133
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.8,2911.2243601958417
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.85,3280.5180188060694
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.9,3745.1737667894545
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.95,4433.863580848458
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.975,5031.199287492599
2026-05-16,wk inc flu hosp,1,US,2026-05-23,quantile,0.99,5725.731137263543
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.01,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.025,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.05,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.1,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.15,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.2,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.25,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.3,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.35,0
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.4,277.2984206780011
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.45,794.7560121587676
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.5,1304.0095090241125
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.55,1813.2630058894579
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.6,2330.720597370224
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.65,2865.5540877094572
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.7,3429.1880268267514
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.75,4037.4376671938035
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.8,4714.7524857601275
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.85,5504.245628380988
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.9,6497.608276666901
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.95,7969.921361160685
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.975,9246.933390050895
2026-05-16,wk inc flu hosp,2,US,2026-05-30,quantile,0.99,10731.735849940082
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.01,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.025,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.05,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.1,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.15,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.2,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.25,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.3,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.35,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.4,0
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.45,549.7556022781416
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.5,1277.5541258272192
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.55,2005.3526493762974
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.6,2744.8760368387575
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.65,3509.232152230182
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.7,4314.74836613295
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.75,5184.027012098635
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.8,6152.010006746241
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.85,7280.312408376123
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.9,8699.974469061892
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.95,10804.127500297529
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.975,12629.166454181157
2026-05-16,wk inc flu hosp,3,US,2026-06-06,quantile,0.99,14751.168649003837
