reference_date,target,horizon,location,target_end_date,output_type,output_type_id,value
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.01,7487.222981553553
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.025,8191.532461064324
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.05,8797.277468695698
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.1,9495.662668228644
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.15,9966.85984676235
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.2,10341.352427006406
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.25,10662.63371540418
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.3,10951.154242001034
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.35,11218.511508047006
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.4,11472.207408600583
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.45,11717.661128384909
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.5,11959.22327217543
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.55,12200.785415965951
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.6,12446.239135750277
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.65,12699.935036303854
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.7,12967.292302349826
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.75,13255.81282894668
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.8,13577.094117344453
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.85,13951.58669758851
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.9,14422.783876122216
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.95,15121.169075655162
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.975,15726.914083286536
2026-02-21,wk inc flu hosp,1,US,2026-02-28,quantile,0.99,16431.223562797306
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.01,1076.042082079768
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.025,2584.5071545676246
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.05,3881.8703357085706
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.1,5377.646995380523
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.15,6386.840406445569
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.2,7188.915337477894
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.25,7877.024210197569
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.3,8494.967244798601
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.35,9067.5835582782
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.4,9610.940443498956
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.45,10136.644518168043
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.5,10654.01375334631
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.55,11171.382988524578
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.6,11697.087063193663
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.65,12240.443948414419
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.7,12813.060261894017
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.75,13431.00329649505
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.8,14119.112169214724
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.85,14921.18710024705
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.9,15930.380511312096
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.95,17426.157170984043
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.975,18723.520352124993
2026-02-21,wk inc flu hosp,2,US,2026-03-07,quantile,0.99,20231.985424612853
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.01,0
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.025,0
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.05,1710.7864832728155
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.1,3846.7771420959616
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.15,5287.919898965542
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.2,6433.294476970392
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.25,7415.923878812309
2026-02-21,wk inc flu hosp,3,US,2026-03-14,quantile,0.3,8298.355451104733
