date,target,location,observation
2020-08-08,wk inc flu hosp,US,0
2020-08-15,wk inc flu hosp,US,0
2020-08-22,wk inc flu hosp,US,0
2020-08-29,wk inc flu hosp,US,0
2020-09-05,wk inc flu hosp,US,0
2020-09-12,wk inc flu hosp,US,0
2020-09-19,wk inc flu hosp,US,0
2020-09-26,wk inc flu hosp,US,0
2020-10-03,wk inc flu hosp,US,0
2020-10-10,wk inc flu hosp,US,0
2020-10-17,wk inc flu hosp,US,4
2020-10-24,wk inc flu hosp,US,241
2020-10-31,wk inc flu hosp,US,470
2020-11-07,wk inc flu hosp,US,520
2020-11-14,wk inc flu hosp,US,648
2020-11-21,wk inc flu hosp,US,608
2020-11-28,wk inc flu hosp,US,684
2020-12-05,wk inc flu hosp,US,658
2020-12-12,wk inc flu hosp,US,640
2020-12-19,wk inc flu hosp,US,766
2020-12-26,wk inc flu hosp,US,750
2021-01-02,wk inc flu hosp,US,738
2021-01-09,wk inc flu hosp,US,596
2021-01-16,wk inc flu hosp,US,648
2021-01-23,wk inc flu hosp,US,715
2021-01-30,wk inc flu hosp,US,551
2021-02-06,wk inc flu hosp,US,506
2021-02-13,wk inc flu hosp,US,463
2021-02-20,wk inc flu hosp,US,480
2021-02-27,wk inc flu hosp,US,422
2021-03-06,wk inc flu hosp,US,436
2021-03-13,wk inc flu hosp,US,454
2021-03-20,wk inc flu hosp,US,376
2021-03-27,wk inc flu hosp,US,368
2021-04-03,wk inc flu hosp,US,383
2021-04-10,wk inc flu hosp,US,348
2021-04-17,wk inc flu hosp,US,370
2021-04-24,wk inc flu hosp,US,472
2021-05-01,wk inc flu hosp,US,452
2021-05-08,wk inc flu hosp,US,344
2021-05-15,wk inc flu hosp,US,274
2021-05-22,wk inc flu hosp,US,294
2021-05-29,wk inc flu hosp,US,247
2021-06-05,wk inc flu hosp,US,252
2021-06-12,wk inc flu hosp,US,231
2021-06-19,wk inc flu hosp,US,214
2021-06-26,wk inc flu hosp,US,204
2021-07-03,wk inc flu hosp,US,221
2021-07-10,wk inc flu hosp,US,243
2021-07-17,wk inc flu hosp,US,292
2021-07-24,wk inc flu hosp,US,263
2021-07-31,wk inc flu hosp,US,280
2021-08-07,wk inc flu hosp,US,349
2021-08-14,wk inc flu hosp,US,290
2021-08-21,wk inc flu hosp,US,280
2021-08-28,wk inc flu hosp,US,262
2021-09-04,wk inc flu hosp,US,281
2021-09-11,wk inc flu hosp,US,246
2021-09-18,wk inc flu hosp,US,261
2021-09-25,wk inc flu hosp,US,235
2021-10-02,wk inc flu hosp,US,253
2021-10-09,wk inc flu hosp,US,341
2021-10-16,wk inc flu hosp,US,266
2021-10-23,wk inc flu hosp,US,281
2021-10-30,wk inc flu hosp,US,263
2021-11-06,wk inc flu hosp,US,320
2021-11-13,wk inc flu hosp,US,338
2021-11-20,wk inc flu hosp,US,366
2021-11-27,wk inc flu hosp,US,477
2021-12-04,wk inc flu hosp,US,870
2021-12-11,wk inc flu hosp,US,1122
2021-12-18,wk inc flu hosp,US,1307
2021-12-25,wk inc flu hosp,US,1795
2022-01-01,wk inc flu hosp,US,2989
2022-01-08,wk inc flu hosp,US,2284
2022-01-15,wk inc flu hosp,US,1627
2022-01-22,wk inc flu hosp,US,1210
2022-01-29,wk inc flu hosp,US,966
2022-02-05,wk inc flu hosp,US,1089
2022-02-12,wk inc flu hosp,US,1161
2022-02-19,wk inc flu hosp,US,1497
2022-02-26,wk inc flu hosp,US,1607
2022-03-05,wk inc flu hosp,US,1792
2022-03-12,wk inc flu hosp,US,2090
2022-03-19,wk inc flu hosp,US,2612
2022-03-26,wk inc flu hosp,US,2908
2022-04-02,wk inc flu hosp,US,3007
2022-04-09,wk inc flu hosp,US,3138
2022-04-16,wk inc flu hosp,US,3295
2022-04-23,wk inc flu hosp,US,3456
2022-04-30,wk inc flu hosp,US,3185
2022-05-07,wk inc flu hosp,US,3175
2022-05-14,wk inc flu hosp,US,3115
2022-05-21,wk inc flu hosp,US,3125
2022-05-28,wk inc flu hosp,US,2733
2022-06-04,wk inc flu hosp,US,2677
2022-06-11,wk inc flu hosp,US,2207
2022-06-18,wk inc flu hosp,US,1776
2022-06-25,wk inc flu hosp,US,1368
2022-07-02,wk inc flu hosp,US,1076
2022-07-09,wk inc flu hosp,US,780
2022-07-16,wk inc flu hosp,US,767
2022-07-23,wk inc flu hosp,US,630
