location,target_end_date,target,output_type,output_type_id,oracle_value
US,2025-10-04,wk inc flu hosp,quantile,,976
US,2025-10-11,wk inc flu hosp,quantile,,1016
US,2025-10-18,wk inc flu hosp,quantile,,1119
US,2025-10-25,wk inc flu hosp,quantile,,1199
US,2025-11-01,wk inc flu hosp,quantile,,1358
US,2025-11-08,wk inc flu hosp,quantile,,1787
US,2025-11-15,wk inc flu hosp,quantile,,2487
US,2025-11-22,wk inc flu hosp,quantile,,3584
US,2025-11-29,wk inc flu hosp,quantile,,5220
US,2025-12-06,wk inc flu hosp,quantile,,7449
US,2025-12-13,wk inc flu hosp,quantile,,11156
US,2025-12-20,wk inc flu hosp,quantile,,21083
US,2025-12-27,wk inc flu hosp,quantile,,37602
US,2026-01-03,wk inc flu hosp,quantile,,42634
US,2026-01-10,wk inc flu hosp,quantile,,29933
US,2026-01-17,wk inc flu hosp,quantile,,19754
US,2026-01-24,wk inc flu hosp,quantile,,16819
US,2026-01-31,wk inc flu hosp,quantile,,15751
US,2026-02-07,wk inc flu hosp,quantile,,16121
US,2026-02-14,wk inc flu hosp,quantile,,16436
US,2026-02-21,wk inc flu hosp,quantile,,14731
US,2026-02-28,wk inc flu hosp,quantile,,11159
US,2026-03-07,wk inc flu hosp,quantile,,9598
US,2026-03-14,wk inc flu hosp,quantile,,7793
US,2026-03-21,wk inc flu hosp,quantile,,6088
US,2026-03-28,wk inc flu hosp,quantile,,3306
US,2026-04-04,wk inc flu hosp,quantile,,2901
US,2026-04-11,wk inc flu hosp,quantile,,2235
US,2026-04-18,wk inc flu hosp,quantile,,1941
US,2026-04-25,wk inc flu hosp,quantile,,1877
US,2026-05-02,wk inc flu hosp,quantile,,1649
US,2026-05-09,wk inc flu hosp,quantile,,1473
US,2026-05-16,wk inc flu hosp,quantile,,1306
US,2026-05-23,wk inc flu hosp,quantile,,1250
US,2026-05-30,wk inc flu hosp,quantile,,1060
US,2026-06-06,wk inc flu hosp,quantile,,1011
US,2026-06-13,wk inc flu hosp,quantile,,832
